model_id,domain,arch,scale,distribution,seed,held_out,config,checkpoint,status,notes
othello_mamba_small_mixed_s0,othello,mamba,small,mixed,0,yes,configs/runs/othello_mamba_small_mixed_s0.yaml,checkpoints/othello_mamba_small_mixed_s0/model.pt,planned,
othello_mamba_small_mixed_s1,othello,mamba,small,mixed,1,yes,configs/runs/othello_mamba_small_mixed_s1.yaml,checkpoints/othello_mamba_small_mixed_s1/model.pt,planned,
othello_mamba_small_mixed_s2,othello,mamba,small,mixed,2,yes,configs/runs/othello_mamba_small_mixed_s2.yaml,checkpoints/othello_mamba_small_mixed_s2/model.pt,planned,
othello_mamba_medium_synthetic_s0,othello,mamba,medium,synthetic,0,yes,configs/runs/othello_mamba_medium_synthetic_s0.yaml,checkpoints/othello_mamba_medium_synthetic_s0/model.pt,planned,
othello_mamba_medium_synthetic_s1,othello,mamba,medium,synthetic,1,yes,configs/runs/othello_mamba_medium_synthetic_s1.yaml,checkpoints/othello_mamba_medium_synthetic_s1/model.pt,planned,
othello_mamba_medium_synthetic_s2,othello,mamba,medium,synthetic,2,yes,configs/runs/othello_mamba_medium_synthetic_s2.yaml,checkpoints/othello_mamba_medium_synthetic_s2/model.pt,planned,
othello_mamba_medium_championship_s0,othello,mamba,medium,championship,0,yes,configs/runs/othello_mamba_medium_championship_s0.yaml,checkpoints/othello_mamba_medium_championship_s0/model.pt,planned,
othello_mamba_medium_championship_s1,othello,mamba,medium,championship,1,yes,configs/runs/othello_mamba_medium_championship_s1.yaml,checkpoints/othello_mamba_medium_championship_s1/model.pt,planned,
othello_mamba_medium_championship_s2,othello,mamba,medium,championship,2,yes,configs/runs/othello_mamba_medium_championship_s2.yaml,checkpoints/othello_mamba_medium_championship_s2/model.pt,planned,
othello_mamba_medium_mixed_s0,othello,mamba,medium,mixed,0,yes,configs/runs/othello_mamba_medium_mixed_s0.yaml,checkpoints/othello_mamba_medium_mixed_s0/model.pt,planned,
othello_mamba_medium_mixed_s1,othello,mamba,medium,mixed,1,yes,configs/runs/othello_mamba_medium_mixed_s1.yaml,checkpoints/othello_mamba_medium_mixed_s1/model.pt,planned,
othello_mamba_medium_mixed_s2,othello,mamba,medium,mixed,2,yes,configs/runs/othello_mamba_medium_mixed_s2.yaml,checkpoints/othello_mamba_medium_mixed_s2/model.pt,planned,
othello_mamba_large_synthetic_s0,othello,mamba,large,synthetic,0,yes,configs/runs/othello_mamba_large_synthetic_s0.yaml,checkpoints/othello_mamba_large_synthetic_s0/model.pt,planned,
